as_of_date,game_id,player_id,player_name,mu_pts,sigma_pts,p15,p20,p25,p30,conf20,conf25,conf30,model_version
2025-12-30,0022500162,201566,Russell Westbrook,11.758702,6.4256387,0.33482853,0.11414963,0.02369018,0.0028810836,11.902357764682332,2.470170132201254,0.30040999529287754,v1_hetero_nll
2025-12-30,0022500181,201566,Russell Westbrook,15.55329,8.3921995,0.5499394,0.3190764,0.14319499,0.048269838,25.47379584292398,11.432121366774613,3.853672968671664,v1_hetero_nll
2025-12-30,0022500038,201566,Russell Westbrook,15.816255,7.913441,0.56605196,0.320785,0.13624613,0.041888654,27.159604668842295,11.535424477164774,3.5465480065349286,v1_hetero_nll
2025-12-30,0022500197,201566,Russell Westbrook,16.707878,7.9032125,0.6100175,0.3619357,0.16208039,0.052766923,30.68333629355939,13.740471083910917,4.473350234586389,v1_hetero_nll
2025-12-30,0022500212,201566,Russell Westbrook,15.427993,8.099126,0.5456107,0.30756256,0.13133094,0.041151915,25.443106859607358,10.86434880025619,3.4042912943431967,v1_hetero_nll
2025-12-30,0022500223,201566,Russell Westbrook,15.716971,7.7580175,0.5623249,0.3129066,0.1287914,0.037815608,27.023322930649037,11.122717878436696,3.265841817389236,v1_hetero_nll
2025-12-30,0022500044,201566,Russell Westbrook,14.381316,8.755013,0.49459207,0.27938902,0.123889916,0.04209639,21.380967033546085,9.480995531480797,3.2215350311399416,v1_hetero_nll
2025-12-30,0022500234,201566,Russell Westbrook,13.73787,7.12605,0.4574144,0.2093724,0.06548959,0.013486692,19.685450994977273,6.157412282517049,1.268035362429168,v1_hetero_nll
2025-12-30,0022500261,201566,Russell Westbrook,13.506007,6.473781,0.4389857,0.17725223,0.044731837,0.006744711,18.344610900474354,4.629494062711263,0.6980397254850687,v1_hetero_nll
2025-12-30,0022500274,201566,Russell Westbrook,12.952477,6.3565807,0.4038276,0.15149598,0.034637287,0.004617751,15.968066826450174,3.6508594273026933,0.4867228869450541,v1_hetero_nll
2025-12-30,0022500292,201566,Russell Westbrook,14.214416,7.163571,0.4840999,0.2303052,0.07552706,0.016429825,21.540162194277936,7.063953268528905,1.5366613183916193,v1_hetero_nll
2025-12-30,0022500068,201566,Russell Westbrook,13.297737,6.8996477,0.43083453,0.18434642,0.052230682,0.009430322,17.901218411825045,5.071933911343352,0.9157447093035154,v1_hetero_nll
2025-12-30,0022500077,201566,Russell Westbrook,13.858521,7.519518,0.46600807,0.22655366,0.07850772,0.018757392,20.18626182078323,6.995152511951946,1.6713109583333667,v1_hetero_nll
2025-12-30,0022500330,201566,Russell Westbrook,13.022059,6.5994234,0.4113981,0.16315047,0.04099682,0.006264642,16.56369171384127,4.162161918387583,0.6360116133330257,v1_hetero_nll
2025-12-30,0022500354,201566,Russell Westbrook,13.429587,7.4724584,0.44304729,0.20828924,0.06923731,0.015753133,18.675752735560376,6.207996443685501,1.4124667847651038,v1_hetero_nll
2025-12-30,0022500364,201566,Russell Westbrook,12.689681,6.4340997,0.38921592,0.14491999,0.033209734,0.0044916146,15.090906195308243,3.458218443737927,0.4677238346939104,v1_hetero_nll
2025-12-30,0022501208,201566,Russell Westbrook,15.035174,6.640171,0.53211856,0.25066575,0.07702242,0.014688823,25.292429445708162,7.771640156294018,1.4821172360097346,v1_hetero_nll
2025-12-30,0022501220,201566,Russell Westbrook,15.28474,8.388868,0.5372649,0.30766407,0.13599083,0.04508151,24.5724363094064,10.86128081431491,3.600558583128166,v1_hetero_nll
2025-12-30,0022500380,201566,Russell Westbrook,13.942799,7.2655616,0.46943477,0.22217484,0.07310537,0.016127953,20.488043315705642,6.741474741684269,1.4872530249801117,v1_hetero_nll
2025-12-30,0022500394,201566,Russell Westbrook,14.799027,6.532047,0.5182566,0.23586154,0.06875401,0.012205694,24.192605017989376,7.052182384001927,1.2519528926277572,v1_hetero_nll
2025-12-30,0022500401,201566,Russell Westbrook,14.474567,6.8658442,0.49852222,0.23210053,0.07211902,0.014319078,22.649414527019943,7.0376989365496545,1.3973201436605773,v1_hetero_nll
2025-12-30,0022500421,201566,Russell Westbrook,14.268342,6.5018716,0.4857889,0.21051408,0.057784412,0.009573476,21.692897469743126,5.954524791201662,0.9865204304875599,v1_hetero_nll
2025-12-30,0022500291,201567,Kevin Love,4.6949043,4.4150863,0.013181702,0.00039927478,3.6324222e-06,9.644592e-09,0.060590914012839565,0.0005512288470822098,1.4635900877790437e-06,v1_hetero_nll
2025-12-30,0022500099,201572,Brook Lopez,12.558301,7.068327,0.39177176,0.16302894,0.04556507,0.008268411,15.453359088533388,4.3190695282850955,0.783754836793566,v1_hetero_nll
2025-12-30,0022500112,201572,Brook Lopez,10.713057,6.9136486,0.29193217,0.101872146,0.023067113,0.003290147,9.872404674552444,2.235428263350922,0.3188473378405813,v1_hetero_nll
2025-12-30,0022500127,201572,Brook Lopez,8.790672,5.8829246,0.16590081,0.034348387,0.0037888794,0.00021557529,3.9119010065449538,0.4315114164072035,0.024551639269645313,v1_hetero_nll
2025-12-30,0022500027,201572,Brook Lopez,8.575774,6.0185237,0.16247614,0.034754228,0.0040740673,0.0002538718,3.868944219481062,0.45353729889578703,0.02826176561160462,v1_hetero_nll
2025-12-30,0022500164,201572,Brook Lopez,7.9392877,5.977882,0.13621192,0.026561823,0.0027999666,0.00015502938,2.9770445704083053,0.3138197756053728,0.017375667400127054,v1_hetero_nll
2025-12-30,0022500170,201572,Brook Lopez,8.116479,7.1402597,0.18565612,0.055437487,0.010880114,0.0013732055,5.201927822829422,1.0209259111630755,0.1288535254034674,v1_hetero_nll
2025-12-30,0022500182,201572,Brook Lopez,8.03233,5.6627607,0.12669773,0.021428425,0.0018183697,7.501327e-05,2.5353436379566485,0.21514377180356478,0.008875333536971964,v1_hetero_nll
2025-12-30,0022500190,201572,Brook Lopez,7.6851287,6.0587893,0.13033882,0.025585774,0.0027576615,0.0001587827,2.8293555921203635,0.3049508949365064,0.017558690239709632,v1_hetero_nll
2025-12-30,0022500206,201572,Brook Lopez,7.565281,5.8732934,0.11885685,0.021075217,0.001967394,9.3986695e-05,2.4041699640497596,0.22443183158365998,0.010721597064783652,v1_hetero_nll
2025-12-30,0022500224,201572,Brook Lopez,6.997805,5.3552413,0.080620944,0.009782903,0.0005410995,1.3234132e-05,1.2239494824547434,0.06769754604898809,0.0016557365273203032,v1_hetero_nll
2025-12-30,0022500046,201572,Brook Lopez,6.5694537,4.830436,0.0503171,0.0037154518,0.00010281677,1.0317882e-06,0.5153473775803716,0.014261079599818656,0.0001431129784274007,v1_hetero_nll
2025-12-30,0022500233,201572,Brook Lopez,4.9476824,4.1216264,0.010235296,0.00020721341,1.0485458e-06,1.2849529e-09,0.033684028763292004,0.00017044864374997685,2.088783356048032e-07,v1_hetero_nll
2025-12-30,0022500243,201572,Brook Lopez,5.205251,4.1911626,0.013287586,0.00032399574,2.0755042e-06,3.3824117e-09,0.05179401566550812,0.0003317904855935176,5.407129362586563e-07,v1_hetero_nll
2025-12-30,0022500264,201572,Brook Lopez,5.5892806,4.125619,0.015392129,0.00037340727,2.28378e-06,3.4024799e-09,0.06064129253356032,0.00037088559698596896,5.525622854478363e-07,v1_hetero_nll
2025-12-30,0022500268,201572,Brook Lopez,4.487056,4.30524,0.0100157475,0.00024411442,1.6717215e-06,3.1258145e-09,0.037990135868927674,0.00026016050099281375,4.864527035342419e-07,v1_hetero_nll
2025-12-30,0022500278,201572,Brook Lopez,5.874784,5.0074725,0.0424923,0.0032544676,9.981493e-05,1.1909184e-06,0.4354478695324993,0.013355241152541582,0.0001593449273538891,v1_hetero_nll
2025-12-30,0022500059,201572,Brook Lopez,3.973574,3.947093,0.0038279423,4.183528e-05,9.943498e-08,4.993561e-11,0.007101336763171765,1.687860824424135e-05,8.476329141658629e-09,v1_hetero_nll
2025-12-30,0022500099,201587,Nicolas Batum,5.935581,5.1407547,0.047858227,0.0041624014,0.00015237741,2.2825218e-06,0.5424901523369936,0.019859509670638785,0.00029748348159263765,v1_hetero_nll
2025-12-30,0022500112,201587,Nicolas Batum,3.9208272,4.381158,0.007874132,0.00018830875,1.3187637e-06,2.6344285e-09,0.028797607171610094,0.00020167537154888707,4.0287684533503637e-07,v1_hetero_nll
2025-12-30,0022500127,201587,Nicolas Batum,3.673661,4.03988,0.0036825752,4.4730976e-05,1.2668843e-07,8.141188e-11,0.007418476736748546,2.1010836486896128e-05,1.3501876408689413e-08,v1_hetero_nll
2025-12-30,0022500027,201587,Nicolas Batum,4.4430842,4.458433,0.012044515,0.0003661702,3.4193692e-06,9.541411e-09,0.055026959180903105,0.0005138525881627541,1.4338547752265605e-06,v1_hetero_nll
